season,player_name,age,team,games,minutes_per_game,fg,fga,fg_pct,three_p,three_pa,three_pct,two_p,two_pa,two_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
2019-20,Andrew Wiggins,25.0,GSW,54,34.4,8.1,18.1,0.447,2.1,6.2,0.332,6.0,11.900000000000002,0.5042016806722688,0.505524861878453,3.5,5.0,0.709,1.2,3.9,5.1,3.7,0.8,1.0,2.4,2.4,21.8
2019-20,Anfernee Simons,21.0,POR,70,20.7,3.1,7.7,0.399,1.1,3.2,0.332,2.0,4.5,0.4444444444444444,0.4740259740259741,1.1,1.3,0.826,0.4,1.8,2.2,1.4,0.4,0.1,0.9,1.9,8.3
2019-20,Ante Zizic,23.0,CLE,22,10.0,1.9,3.3,0.569,0.0,0.0,0.0,1.9,3.3,0.5757575757575758,0.5757575757575758,0.6,0.9,0.737,0.8,2.2,3.0,0.3,0.3,0.2,0.5,1.2,4.4
2019-20,Anthony Davis,27.0,LAL,62,34.4,8.9,17.7,0.503,1.2,3.5,0.33,7.7,14.2,0.5422535211267606,0.536723163841808,7.2,8.5,0.846,2.3,7.0,9.3,3.2,1.5,2.3,2.5,2.5,26.1
2019-20,Anthony Tolliver,35.0,MEM,55,15.9,1.2,3.3,0.357,0.9,2.6,0.338,0.29999999999999993,0.6999999999999997,0.42857142857142866,0.5,0.4,0.5,0.724,0.6,2.2,2.8,0.8,0.3,0.2,0.6,1.3,3.6
2019-20,Antonius Cleveland,26.0,DAL,11,4.2,0.4,1.3,0.286,0.0,0.3,0.0,0.4,1.0,0.4,0.3076923076923077,0.3,0.5,0.6,0.2,0.5,0.6,0.1,0.1,0.3,0.2,0.7,1.0
2019-20,Anžejs Pasečņiks,24.0,WAS,27,16.2,2.3,4.3,0.526,0.0,0.1,0.0,2.3,4.2,0.5476190476190476,0.5348837209302325,1.3,2.1,0.586,1.6,2.4,4.0,0.7,0.3,0.4,0.9,2.8,5.8
2019-20,Aron Baynes,33.0,PHX,42,22.2,4.4,9.1,0.48,1.4,4.0,0.351,3.0000000000000004,5.1,0.5882352941176472,0.5604395604395606,1.3,1.8,0.747,1.7,4.0,5.6,1.6,0.2,0.5,1.2,3.4,11.5
2019-20,Austin Rivers,27.0,HOU,68,23.4,3.1,7.4,0.421,1.4,4.0,0.356,1.7000000000000002,3.4000000000000004,0.5,0.5135135135135135,1.1,1.6,0.703,0.4,2.2,2.6,1.7,0.7,0.1,0.7,1.9,8.8
2019-20,Avery Bradley,29.0,LAL,49,24.2,3.5,7.8,0.444,1.3,3.5,0.364,2.2,4.3,0.5116279069767442,0.5320512820512822,0.4,0.5,0.833,0.4,2.0,2.3,1.3,0.9,0.1,1.0,2.2,8.6
2019-20,BJ Johnson,24.0,ORL,10,8.3,0.9,3.2,0.281,0.3,0.9,0.333,0.6000000000000001,2.3000000000000003,0.2608695652173913,0.328125,0.9,1.0,0.9,0.3,1.2,1.5,0.3,0.3,0.0,0.6,0.3,3.0
2019-20,Bam Adebayo,22.0,MIA,72,33.6,6.1,11.0,0.557,0.0,0.2,0.143,6.1,10.8,0.5648148148148148,0.5545454545454546,3.7,5.3,0.691,2.4,7.8,10.2,5.1,1.1,1.3,2.8,2.5,15.9
2019-20,Ben McLemore,27.0,HOU,71,22.8,3.4,7.7,0.444,2.5,6.4,0.4,0.8999999999999999,1.2999999999999998,0.6923076923076923,0.6038961038961039,0.7,0.9,0.746,0.3,1.9,2.2,0.8,0.6,0.2,0.7,2.2,10.1
2019-20,Ben Simmons,23.0,PHI,57,35.4,6.6,11.4,0.58,0.0,0.1,0.286,6.6,11.3,0.5840707964601769,0.5789473684210525,3.2,5.2,0.621,2.0,5.8,7.8,8.0,2.1,0.6,3.5,3.3,16.4
2019-20,Bismack Biyombo,27.0,CHA,53,19.4,2.8,5.2,0.543,0.0,0.0,0.0,2.8,5.2,0.5384615384615384,0.5384615384615384,1.7,2.8,0.603,2.3,3.5,5.8,0.9,0.2,0.9,0.9,2.2,7.4
2019-20,Blake Griffin,31.0,DET,18,28.5,4.9,13.9,0.352,1.5,6.2,0.243,3.4000000000000004,7.7,0.4415584415584416,0.4064748201438849,4.2,5.4,0.776,0.9,3.7,4.7,3.3,0.4,0.4,2.2,1.5,15.5
2019-20,Boban Marjanovic,31.0,DAL,44,9.6,2.8,4.8,0.573,0.1,0.4,0.235,2.6999999999999997,4.3999999999999995,0.6136363636363636,0.59375,1.0,1.3,0.754,1.5,3.0,4.5,0.5,0.2,0.2,0.7,1.3,6.6
2019-20,Bobby Portis,25.0,NYK,66,21.1,4.0,8.9,0.45,1.0,2.8,0.358,3.0,6.1000000000000005,0.4918032786885245,0.5056179775280899,1.1,1.4,0.763,1.2,3.9,5.1,1.5,0.5,0.3,1.1,1.7,10.1
2019-20,Bogdan Bogdanović,27.0,SAC,61,28.9,5.5,12.6,0.44,2.7,7.2,0.372,2.8,5.3999999999999995,0.5185185185185185,0.5436507936507936,1.4,1.9,0.741,0.4,3.0,3.4,3.4,1.0,0.2,1.7,2.2,15.1
2019-20,Bojan Bogdanovic,31.0,UTA,63,33.1,6.6,14.8,0.447,3.0,7.3,0.414,3.5999999999999996,7.500000000000001,0.47999999999999987,0.5472972972972973,4.0,4.4,0.903,0.6,3.5,4.1,2.1,0.5,0.1,2.5,1.7,20.2
2019-20,Bol Bol,20.0,DEN,7,12.4,2.0,4.0,0.5,0.6,1.3,0.444,1.4,2.7,0.5185185185185185,0.575,1.1,1.4,0.8,0.7,2.0,2.7,0.9,0.3,0.9,1.4,1.6,5.7
2019-20,Brad Wanamaker,30.0,BOS,71,19.3,2.3,5.1,0.448,0.5,1.4,0.363,1.7999999999999998,3.6999999999999997,0.48648648648648646,0.5,1.8,1.9,0.926,0.3,1.7,2.0,2.5,0.9,0.2,1.1,1.9,6.9
2019-20,Bradley Beal,27.0,WAS,57,36.0,10.4,22.9,0.455,3.0,8.4,0.353,7.4,14.499999999999998,0.510344827586207,0.5196506550218342,6.8,8.0,0.842,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5
2019-20,Brandon Clarke,23.0,MEM,58,22.4,5.1,8.3,0.618,0.4,1.1,0.359,4.699999999999999,7.200000000000001,0.6527777777777776,0.6385542168674698,1.5,1.9,0.759,1.6,4.4,5.9,1.4,0.6,0.8,0.9,1.7,12.1
2019-20,Brandon Goodwin,24.0,ATL,34,12.7,2.2,5.6,0.4,0.8,2.6,0.299,1.4000000000000001,2.9999999999999996,0.4666666666666668,0.46428571428571436,0.8,0.9,0.933,0.3,1.8,2.1,1.5,0.4,0.1,0.9,1.3,6.1
2019-20,Brandon Ingram,22.0,NOP,62,33.9,8.2,17.7,0.463,2.4,6.2,0.391,5.799999999999999,11.5,0.5043478260869564,0.5310734463276836,5.0,5.9,0.851,0.8,5.3,6.1,4.2,1.0,0.6,3.0,2.9,23.8
2019-20,Brandon Knight,28.0,DET,25,18.5,2.4,6.7,0.353,1.8,5.2,0.344,0.5999999999999999,1.5,0.3999999999999999,0.4925373134328358,0.8,1.4,0.588,0.2,1.5,1.6,2.8,0.4,0.1,1.5,1.6,7.3
2019-20,Brian Bowen II,21.0,IND,6,5.2,0.5,1.7,0.3,0.0,0.3,0.0,0.5,1.4,0.35714285714285715,0.29411764705882354,0.0,0.0,0.0,0.2,1.0,1.2,0.0,0.0,0.2,0.2,0.5,1.0
2019-20,Brook Lopez,32.0,MIL,68,26.7,4.3,9.9,0.435,1.5,4.8,0.314,2.8,5.1000000000000005,0.5490196078431372,0.51010101010101,1.9,2.2,0.836,0.9,3.7,4.6,1.5,0.7,2.4,1.0,2.4,12.0
2019-20,Bruce Brown,23.0,DET,58,28.2,3.4,7.7,0.443,0.6,1.7,0.344,2.8,6.0,0.4666666666666666,0.48051948051948046,1.5,2.1,0.739,1.1,3.7,4.7,4.0,1.1,0.5,1.7,2.8,8.9
2019-20,Bruno Caboclo,24.0,HOU,30,8.1,1.3,3.0,0.427,0.2,1.1,0.182,1.1,1.9,0.5789473684210527,0.46666666666666673,0.3,0.3,0.889,0.8,1.2,2.0,0.4,0.5,0.6,0.4,1.0,3.0
2019-20,Bruno Fernando,21.0,ATL,56,12.7,1.8,3.6,0.518,0.1,0.7,0.135,1.7,2.9000000000000004,0.5862068965517241,0.513888888888889,0.5,0.9,0.569,1.2,2.3,3.5,0.9,0.3,0.3,0.8,1.9,4.3
2019-20,Bryn Forbes,26.0,SAS,63,25.1,3.8,9.2,0.417,2.3,6.0,0.388,1.5,3.1999999999999993,0.4687500000000001,0.5380434782608695,1.2,1.4,0.833,0.2,1.8,2.0,1.7,0.5,0.0,0.9,1.8,11.2
2019-20,Buddy Hield,27.0,SAC,72,30.8,6.9,16.1,0.429,3.8,9.6,0.394,3.1000000000000005,6.500000000000002,0.4769230769230769,0.546583850931677,1.6,1.9,0.846,0.8,3.8,4.6,3.0,0.9,0.2,2.3,2.3,19.2
2019-20,CJ McCollum,28.0,POR,70,36.5,8.7,19.4,0.451,2.8,7.3,0.379,5.8999999999999995,12.099999999999998,0.487603305785124,0.520618556701031,2.0,2.6,0.757,0.7,3.6,4.2,4.4,0.8,0.6,1.8,2.6,22.2
2019-20,CJ Miles,33.0,WAS,10,16.1,1.9,5.9,0.322,1.1,3.5,0.314,0.7999999999999998,2.4000000000000004,0.3333333333333332,0.4152542372881356,1.5,2.0,0.75,0.4,0.8,1.2,1.2,1.0,0.4,0.4,1.4,6.4
2019-20,Caleb Martin,24.0,CHA,18,17.6,2.1,4.7,0.44,1.1,2.1,0.541,1.0,2.6,0.3846153846153846,0.5638297872340426,0.9,1.2,0.81,0.6,1.6,2.1,1.3,0.7,0.4,0.8,1.8,6.2
2019-20,Caleb Swanigan,23.0,POR,27,10.7,1.0,1.7,0.596,0.0,0.1,0.0,1.0,1.5999999999999999,0.625,0.5882352941176471,0.3,0.6,0.529,1.0,2.7,3.7,1.1,0.1,0.3,1.4,2.3,2.4
2019-20,Cam Reddish,20.0,ATL,58,26.7,3.7,9.6,0.384,1.4,4.3,0.332,2.3000000000000003,5.3,0.43396226415094347,0.45833333333333337,1.7,2.2,0.802,0.6,3.1,3.7,1.5,1.1,0.5,1.7,2.3,10.5
2019-20,Cameron Johnson,24.0,PHX,57,22.0,3.1,7.1,0.435,1.9,4.8,0.39,1.2000000000000002,2.3,0.5217391304347827,0.5704225352112676,0.8,1.0,0.807,0.9,2.4,3.3,1.2,0.6,0.4,0.6,1.5,8.8
2019-20,Cameron Payne,25.0,PHX,8,22.9,4.1,8.5,0.485,1.9,3.6,0.517,2.1999999999999997,4.9,0.4489795918367346,0.5941176470588235,0.8,0.9,0.857,0.5,3.4,3.9,3.0,1.0,0.3,1.4,2.5,10.9
2019-20,Caris LeVert,25.0,BKN,45,29.6,6.9,16.3,0.425,1.8,4.9,0.364,5.1000000000000005,11.4,0.44736842105263164,0.4785276073619632,3.1,4.4,0.711,1.1,3.1,4.2,4.4,1.2,0.2,2.6,1.8,18.7
2019-20,Carmelo Anthony,36.0,POR,58,32.8,5.8,13.5,0.43,1.5,3.9,0.385,4.3,9.6,0.4479166666666667,0.48518518518518516,2.3,2.8,0.845,1.2,5.1,6.3,1.5,0.8,0.5,1.7,2.9,15.4
2019-20,Carsen Edwards,22.0,BOS,37,9.5,1.1,3.5,0.328,0.6,2.1,0.316,0.5000000000000001,1.4,0.35714285714285726,0.4,0.4,0.5,0.684,0.2,1.1,1.3,0.6,0.3,0.1,0.4,0.9,3.3
2019-20,Cedi Osman,25.0,CLE,65,29.4,4.1,9.4,0.437,1.9,4.9,0.383,2.1999999999999997,4.5,0.4888888888888888,0.5372340425531914,1.0,1.4,0.67,0.6,3.0,3.6,2.4,0.8,0.2,1.4,2.5,11.0
2019-20,Chandler Hutchison,24.0,CHI,28,18.8,2.9,6.3,0.457,0.4,1.4,0.316,2.5,4.9,0.5102040816326531,0.4920634920634921,1.6,2.8,0.59,0.6,3.2,3.9,0.9,1.0,0.3,1.0,1.7,7.8
2019-20,Chandler Parsons,31.0,ATL,5,10.8,1.0,3.6,0.278,0.8,2.8,0.286,0.19999999999999996,0.8000000000000003,0.24999999999999986,0.38888888888888884,0.0,0.0,0.0,0.2,1.2,1.4,0.6,0.8,0.2,0.6,0.6,2.8
2019-20,Charlie Brown Jr.,23.0,ATL,10,4.0,0.6,1.9,0.316,0.3,0.9,0.333,0.3,0.9999999999999999,0.30000000000000004,0.39473684210526316,0.5,0.5,1.0,0.2,0.2,0.4,0.2,0.2,0.2,0.3,0.3,2.0
2019-20,Chasson Randle,27.0,GSW,3,13.5,0.0,1.3,0.0,0.0,0.7,0.0,0.0,0.6000000000000001,0.0,0.0,1.7,2.0,0.833,0.0,0.7,0.7,1.7,0.7,0.0,0.0,1.0,1.7
2019-20,Cheick Diallo,23.0,PHX,47,10.2,2.0,3.0,0.648,0.0,0.1,0.333,2.0,2.9,0.6896551724137931,0.6666666666666666,0.7,0.8,0.872,0.6,2.1,2.8,0.5,0.2,0.3,0.7,1.2,4.7
2019-20,Chimezie Metu,23.0,SAS,18,5.8,1.3,2.3,0.571,0.0,0.1,0.0,1.3,2.1999999999999997,0.590909090909091,0.5652173913043479,0.6,0.7,0.769,0.7,1.2,1.8,0.6,0.2,0.3,0.6,0.4,3.2
2019-20,Chris Boucher,27.0,TOR,62,13.2,2.3,4.8,0.472,0.6,1.9,0.322,1.6999999999999997,2.9,0.5862068965517241,0.5416666666666666,1.5,1.9,0.784,1.7,2.7,4.5,0.4,0.4,1.0,0.5,1.8,6.6
2019-20,Chris Chiozza,24.0,BKN,28,14.3,2.0,5.0,0.393,1.0,2.6,0.375,1.0,2.4,0.4166666666666667,0.5,0.2,0.2,1.0,0.3,1.6,1.9,3.0,0.8,0.1,1.1,1.3,5.1
2019-20,Chris Clemons,22.0,HOU,33,8.8,1.7,4.3,0.401,1.1,3.2,0.346,0.5999999999999999,1.0999999999999996,0.5454545454545455,0.5232558139534884,0.3,0.3,0.909,0.1,0.8,0.9,0.8,0.3,0.2,0.6,0.8,4.9
2019-20,Chris Paul,35.0,OKC,70,31.5,6.2,12.7,0.489,1.6,4.3,0.365,4.6,8.399999999999999,0.5476190476190477,0.5511811023622047,3.6,4.0,0.907,0.4,4.6,5.0,6.7,1.6,0.2,2.3,2.3,17.6
2019-20,Chris Silva,23.0,MIA,44,7.9,1.1,1.8,0.615,0.0,0.1,0.0,1.1,1.7,0.6470588235294118,0.6111111111111112,0.8,1.3,0.673,1.4,1.5,2.9,0.5,0.2,0.5,0.7,1.9,3.0
2019-20,Christian Wood,24.0,DET,62,21.4,4.6,8.2,0.567,0.9,2.3,0.386,3.6999999999999997,5.8999999999999995,0.6271186440677966,0.6158536585365854,2.9,3.9,0.744,1.7,4.6,6.3,1.0,0.5,0.9,1.4,1.6,13.1
2019-20,Clint Capela,26.0,ATL,39,32.8,6.3,9.9,0.629,0.0,0.0,0.0,6.3,9.9,0.6363636363636364,0.6363636363636364,1.4,2.7,0.529,4.3,9.5,13.8,1.2,0.8,1.8,1.6,2.6,13.9
2019-20,Coby White,20.0,CHI,65,25.8,4.8,12.2,0.394,2.0,5.8,0.354,2.8,6.3999999999999995,0.4375,0.4754098360655738,1.6,2.0,0.791,0.4,3.1,3.5,2.7,0.8,0.1,1.7,1.8,13.2
2019-20,Cody Martin,24.0,CHA,48,18.8,1.9,4.3,0.43,0.4,1.6,0.234,1.5,2.6999999999999997,0.5555555555555556,0.48837209302325585,0.9,1.4,0.646,0.8,2.5,3.3,2.0,0.8,0.2,0.9,1.6,5.0
2019-20,Cody Zeller,27.0,CHA,58,23.1,4.3,8.3,0.524,0.3,1.3,0.24,4.0,7.000000000000001,0.5714285714285714,0.536144578313253,2.1,3.1,0.682,2.8,4.3,7.1,1.5,0.7,0.4,1.3,2.4,11.1
2019-20,Collin Sexton,21.0,CLE,65,33.0,7.9,16.7,0.472,1.5,3.9,0.38,6.4,12.799999999999999,0.5000000000000001,0.5179640718562875,3.5,4.1,0.846,0.9,2.2,3.1,3.0,1.0,0.1,2.4,2.2,20.8
2019-20,Corey Brewer,34.0,SAC,5,6.5,0.4,0.8,0.5,0.0,0.2,0.0,0.4,0.6000000000000001,0.6666666666666666,0.5,0.2,0.6,0.333,0.4,1.2,1.6,0.4,0.8,0.0,0.4,1.4,1.0
2019-20,Cory Joseph,28.0,SAC,72,24.4,2.4,5.7,0.415,0.8,2.2,0.352,1.5999999999999999,3.5,0.45714285714285713,0.49122807017543857,0.8,1.0,0.857,0.6,2.0,2.6,3.5,0.7,0.3,1.1,1.8,6.4
2019-20,Courtney Lee,34.0,DAL,24,14.4,1.7,3.4,0.488,0.9,2.0,0.447,0.7999999999999999,1.4,0.5714285714285714,0.6323529411764706,0.3,0.3,0.857,0.3,1.0,1.3,0.5,0.8,0.3,0.5,1.4,4.5
2019-20,Cristiano Felicio,27.0,CHI,22,17.5,1.5,2.5,0.63,0.0,0.1,0.0,1.5,2.4,0.625,0.6,0.8,1.0,0.783,2.5,2.1,4.6,0.7,0.5,0.1,0.8,1.5,3.9
2019-20,D'Angelo Russell,24.0,MIN,45,32.3,8.0,18.8,0.426,3.5,9.6,0.367,4.5,9.200000000000001,0.48913043478260865,0.5186170212765957,3.6,4.4,0.809,0.4,3.6,3.9,6.3,1.1,0.3,3.3,1.9,23.1
2019-20,D.J. Augustin,32.0,ORL,57,24.9,3.2,8.1,0.399,1.2,3.5,0.348,2.0,4.6,0.4347826086956522,0.46913580246913583,2.8,3.2,0.89,0.4,1.8,2.1,4.6,0.6,0.0,1.5,1.3,10.5
2019-20,D.J. Wilson,24.0,MIL,37,9.8,1.4,3.6,0.394,0.5,2.0,0.247,0.8999999999999999,1.6,0.5624999999999999,0.4583333333333333,0.3,0.5,0.611,0.3,2.2,2.5,0.7,0.1,0.1,0.5,0.9,3.6
2019-20,DaQuan Jeffries,22.0,SAC,13,10.9,1.5,3.1,0.5,0.4,1.4,0.278,1.1,1.7000000000000002,0.6470588235294118,0.5483870967741935,0.4,0.5,0.833,0.2,1.2,1.4,0.5,0.3,0.1,0.2,1.5,3.8
2019-20,Damian Jones,25.0,ATL,55,16.1,2.2,3.2,0.68,0.0,0.2,0.222,2.2,3.0,0.7333333333333334,0.6875,1.1,1.5,0.738,1.3,2.4,3.7,0.6,0.5,0.7,0.5,2.7,5.6
2019-20,Damian Lillard,29.0,POR,66,37.5,9.5,20.4,0.463,4.1,10.2,0.401,5.4,10.2,0.5294117647058825,0.5661764705882354,7.0,7.8,0.888,0.5,3.8,4.3,8.0,1.1,0.3,2.9,1.7,30.0
2019-20,Damion Lee,27.0,GSW,49,29.0,4.3,10.4,0.417,1.7,4.9,0.356,2.5999999999999996,5.5,0.47272727272727266,0.4951923076923076,2.2,2.6,0.873,0.7,4.2,4.9,2.7,1.0,0.1,1.4,2.4,12.7
2019-20,Damyean Dotson,26.0,NYK,48,17.4,2.5,6.0,0.414,1.2,3.4,0.362,1.3,2.6,0.5,0.5166666666666667,0.5,0.7,0.667,0.2,1.7,1.9,1.2,0.5,0.1,0.4,0.9,6.7
2019-20,Daniel Gafford,21.0,CHI,43,14.2,2.2,3.1,0.701,0.0,0.0,0.0,2.2,3.1,0.7096774193548387,0.7096774193548387,0.7,1.4,0.533,1.2,1.3,2.5,0.5,0.3,1.3,0.7,2.3,5.1
2019-20,Daniel Theis,28.0,BOS,65,24.1,3.7,6.6,0.566,0.5,1.5,0.333,3.2,5.1,0.627450980392157,0.5984848484848485,1.3,1.8,0.763,2.2,4.4,6.6,1.7,0.6,1.3,0.8,3.4,9.2
2019-20,Danilo Gallinari,31.0,OKC,62,29.6,5.8,13.2,0.438,2.9,7.1,0.405,2.9,6.1,0.4754098360655738,0.5492424242424243,4.3,4.8,0.893,0.5,4.6,5.2,1.9,0.7,0.1,1.2,1.2,18.7
2019-20,Danny Green,33.0,LAL,68,24.8,2.9,7.0,0.416,1.8,4.8,0.367,1.0999999999999999,2.2,0.4999999999999999,0.5428571428571428,0.5,0.7,0.688,0.8,2.6,3.3,1.3,1.3,0.5,0.9,2.0,8.0
2019-20,Dante Exum,24.0,CLE,35,13.9,1.6,3.4,0.471,0.4,1.2,0.349,1.2000000000000002,2.2,0.5454545454545455,0.5294117647058824,0.9,1.2,0.744,0.3,1.6,1.9,1.1,0.4,0.2,0.9,1.1,4.5
2019-20,Danuel House Jr.,27.0,HOU,63,30.4,3.7,8.6,0.427,2.0,5.6,0.363,1.7000000000000002,3.0,0.5666666666666668,0.5465116279069768,1.2,1.4,0.811,0.9,3.3,4.2,1.3,1.1,0.5,0.9,2.1,10.5
2019-20,Dario Saric,26.0,PHX,66,24.7,3.9,8.2,0.476,1.3,3.6,0.357,2.5999999999999996,4.6,0.5652173913043478,0.5548780487804879,1.6,1.9,0.844,1.5,4.6,6.2,1.9,0.6,0.2,1.3,2.4,10.7
2019-20,Darius Bazley,20.0,OKC,61,18.5,2.0,5.2,0.394,0.8,2.3,0.348,1.2,2.9000000000000004,0.4137931034482758,0.4615384615384615,0.7,1.0,0.694,0.5,3.5,4.0,0.7,0.4,0.7,0.7,0.9,5.6
2019-20,Darius Garland,20.0,CLE,59,30.9,4.7,11.8,0.401,1.8,5.0,0.355,2.9000000000000004,6.800000000000001,0.4264705882352941,0.4745762711864407,1.1,1.2,0.875,0.5,1.4,1.9,3.9,0.7,0.1,2.6,1.6,12.3
2019-20,Daryl Macon,24.0,MIA,4,3.5,0.3,0.8,0.333,0.3,0.5,0.5,0.0,0.30000000000000004,0.0,0.5624999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.3,0.8
2019-20,David Nwaba,27.0,HOU,20,13.4,1.9,3.6,0.521,0.6,1.4,0.429,1.2999999999999998,2.2,0.5909090909090908,0.611111111111111,0.9,1.4,0.667,0.4,1.9,2.3,0.4,0.6,0.6,0.4,1.6,5.2
2019-20,Davis Bertans,27.0,WAS,54,29.3,4.9,11.3,0.434,3.7,8.7,0.424,1.2000000000000002,2.6000000000000014,0.46153846153846134,0.5973451327433628,1.9,2.3,0.852,0.6,3.9,4.5,1.7,0.7,0.6,1.1,2.6,15.4
2019-20,De'Aaron Fox,22.0,SAC,51,32.0,7.7,16.0,0.48,1.1,3.6,0.292,6.6,12.4,0.532258064516129,0.515625,4.7,6.7,0.705,0.7,3.2,3.8,6.8,1.5,0.5,3.1,2.8,21.1
